TimeStamp,Q1,Q2,Q3,Q4,
2018/07/03 10:21:01,4,4,5,4,
2018/07/03 10:36:17,2,2,3,2,
2018/07/03 10:51:41,1,1,3,2,
2018/07/03 11:07:12,1,1,2,3,
2018/07/03 11:22:40,4,4,3,4,
2018/07/03 11:38:19,4,5,4,3,
2018/07/03 11:54:24,5,5,4,4,
2018/07/03 13:45:50,5,5,4,4,
2018/07/03 14:01:31,5,5,5,4,
2018/07/03 14:16:44,5,5,5,3,
2018/07/03 14:33:58,5,5,5,3,
2018/07/03 14:49:20,5,5,4,3,
2018/07/03 15:04:28,4,4,4,3,
2018/07/03 15:19:43,4,5,4,3,
2018/07/03 15:35:34,5,5,3,3,
2018/07/03 15:50:54,4,4,3,2,
2018/07/03 16:20:26,3,3,3,2,
2018/07/03 16:26:03,3,4,3,2,
