,Accuracy,Fmeasure,Precision,Recall
0,0.5714285714285714,0.5523809523809523,0.5571428571428572,0.5714285714285714
1,0.8571428571428571,0.8744588744588745,0.9285714285714286,0.8571428571428571
2,1.0,1.0,1.0,1.0
3,0.5714285714285714,0.5194805194805194,0.47619047619047616,0.5714285714285714
4,0.42857142857142855,0.380952380952381,0.8095238095238095,0.42857142857142855
5,0.42857142857142855,0.34285714285714286,0.2857142857142857,0.42857142857142855
6,0.2857142857142857,0.3061224489795919,0.3333333333333333,0.2857142857142857
7,0.3333333333333333,0.380952380952381,0.4444444444444444,0.3333333333333333
8,0.3333333333333333,0.25,0.20000000000000004,0.3333333333333333
9,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666
