,Accuracy,Fmeasure,MAE,Precision,Recall
0,0.5714285714285714,0.6285714285714287,0.42857142857142855,0.8928571428571429,0.5714285714285714
1,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143
2,0.5714285714285714,0.5714285714285715,0.42857142857142855,0.8285714285714285,0.5714285714285714
3,1.0,1.0,0.0,1.0,1.0
4,0.7142857142857143,0.5952380952380951,0.2857142857142857,0.5102040816326531,0.7142857142857143
5,0.7142857142857143,0.7023809523809523,0.2857142857142857,0.8285714285714285,0.7142857142857143
6,0.42857142857142855,0.37142857142857144,0.5714285714285714,0.6666666666666667,0.42857142857142855
7,0.8333333333333334,0.851851851851852,0.16666666666666666,0.9166666666666666,0.8333333333333334
8,0.6666666666666666,0.8000000000000002,0.3333333333333333,1.0,0.6666666666666666
9,1.0,1.0,0.0,1.0,1.0
