,Accuracy,Fmeasure,Precision,Recall
0,0.5,0.5208333333333333,0.675,0.5
1,0.625,0.525,0.4583333333333333,0.625
2,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857
3,0.8571428571428571,0.8435374149659863,0.8928571428571429,0.8571428571428571
4,0.5714285714285714,0.5102040816326531,0.4642857142857143,0.5714285714285714
5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
6,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
7,0.7142857142857143,0.6768707482993196,0.8214285714285714,0.7142857142857143
8,0.7142857142857143,0.6666666666666669,0.6428571428571429,0.7142857142857143
9,0.7142857142857143,0.7238095238095239,0.7857142857142857,0.7142857142857143
