,Accuracy,Fmeasure,MAE,Precision,Recall
0,0.4,0.43636363636363634,0.8,0.4800000000000001,0.4
1,0.7,0.7163636363636363,0.3,0.7466666666666667,0.7
2,0.6,0.4499999999999999,0.4,0.36,0.6
3,0.5,0.42857142857142866,0.7,0.4333333333333333,0.5
4,0.6666666666666666,0.6195286195286196,0.3333333333333333,0.6984126984126984,0.6666666666666666
5,0.3333333333333333,0.287037037037037,0.6666666666666666,0.2962962962962963,0.3333333333333333
6,0.5555555555555556,0.5521885521885521,0.4444444444444444,0.5925925925925926,0.5555555555555556
7,0.5555555555555556,0.5481481481481482,0.4444444444444444,0.8333333333333334,0.5555555555555556
8,0.6666666666666666,0.6574074074074073,0.4444444444444444,0.7555555555555555,0.6666666666666666
9,0.5555555555555556,0.5703703703703703,0.5555555555555556,0.6018518518518517,0.5555555555555556
