,Accuracy,Fmeasure,Precision,Recall
0,0.5,0.5476190476190477,0.6875,0.5
1,0.625,0.6458333333333333,0.7916666666666666,0.625
2,0.8571428571428571,0.8666666666666666,0.9285714285714286,0.8571428571428571
3,0.7142857142857143,0.7047619047619048,0.7619047619047619,0.7142857142857143
4,0.5714285714285714,0.4761904761904761,0.41428571428571426,0.5714285714285714
5,0.42857142857142855,0.35374149659863946,0.39999999999999997,0.42857142857142855
6,0.5714285714285714,0.47619047619047616,0.5,0.5714285714285714
7,0.5714285714285714,0.5428571428571429,0.6071428571428571,0.5714285714285714
8,0.5714285714285714,0.4571428571428572,0.38095238095238093,0.5714285714285714
9,0.42857142857142855,0.34285714285714286,0.2857142857142857,0.42857142857142855
