,Accuracy,Fmeasure,Precision,Recall
0,0.5,0.4166666666666666,0.3625,0.5
1,0.375,0.3464285714285715,0.3625,0.375
2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
3,0.42857142857142855,0.4523809523809524,0.5476190476190476,0.42857142857142855
4,0.42857142857142855,0.4571428571428572,0.6904761904761906,0.42857142857142855
5,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857
6,0.5714285714285714,0.6285714285714287,0.7142857142857143,0.5714285714285714
7,0.5714285714285714,0.47619047619047616,0.5,0.5714285714285714
8,0.2857142857142857,0.35714285714285715,0.47619047619047616,0.2857142857142857
9,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.42857142857142855
