,Accuracy,Fmeasure,Precision,Recall
0,0.25,0.25,0.2708333333333333,0.25
1,0.375,0.325,0.29166666666666663,0.375
2,0.5714285714285714,0.5306122448979592,0.5,0.5714285714285714
3,0.5714285714285714,0.6190476190476188,0.6785714285714286,0.5714285714285714
4,0.42857142857142855,0.4571428571428572,0.5,0.42857142857142855
5,0.5714285714285714,0.5,0.6428571428571429,0.5714285714285714
6,0.7142857142857143,0.6031746031746031,0.5285714285714286,0.7142857142857143
7,0.2857142857142857,0.253968253968254,0.2285714285714286,0.2857142857142857
8,0.42857142857142855,0.35714285714285715,0.33333333333333337,0.42857142857142855
9,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8571428571428571
