,Accuracy,Fmeasure,Precision,Recall
0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
1,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8571428571428571
2,0.5714285714285714,0.5714285714285714,0.5952380952380951,0.5714285714285714
3,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8571428571428571
4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
5,0.7142857142857143,0.5952380952380951,0.5102040816326531,0.7142857142857143
6,0.5714285714285714,0.5523809523809523,0.5571428571428572,0.5714285714285714
7,0.6666666666666666,0.6666666666666669,0.6666666666666666,0.6666666666666666
8,0.16666666666666666,0.09523809523809525,0.06666666666666667,0.16666666666666666
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
