,Accuracy,Fmeasure,Precision,Recall
0,0.5,0.48666666666666664,0.49000000000000005,0.5
1,0.5,0.41666666666666663,0.35714285714285715,0.5
2,0.5,0.37,0.3,0.5
3,0.5,0.49142857142857144,0.8666666666666666,0.5
4,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.3333333333333333
5,0.5555555555555556,0.5982905982905983,0.6481481481481483,0.5555555555555556
6,0.2222222222222222,0.2285714285714286,0.25,0.2222222222222222
7,0.5555555555555556,0.5185185185185186,0.5,0.5555555555555556
8,0.5555555555555556,0.48148148148148145,0.42857142857142855,0.5555555555555556
9,0.4444444444444444,0.36111111111111105,0.3111111111111111,0.4444444444444444
