,Accuracy,Fmeasure,Precision,Recall
0,0.4,0.3727272727272727,0.35,0.4
1,0.3,0.18461538461538463,0.13333333333333333,0.3
2,0.6,0.5866666666666667,0.6357142857142857,0.6
3,0.4,0.4257142857142858,0.475,0.4
4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
5,0.6666666666666666,0.5333333333333334,0.4444444444444444,0.6666666666666666
6,0.3333333333333333,0.2740740740740741,0.24074074074074073,0.3333333333333333
7,0.6666666666666666,0.7037037037037037,0.7777777777777778,0.6666666666666666
8,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556
9,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.3333333333333333
