TimeStamp,Q1,Q2,Q3,Q4,
2018/06/27 9:59:06,2,2,5,3,
2018/06/27 10:13:54,3,2,3,2,
2018/06/27 10:28:55,4,4,3,3,
2018/06/27 10:43:48,5,5,3,2,
2018/06/27 10:58:58,3,3,2,1,
2018/06/27 11:13:54,2,2,3,2,
2018/06/27 11:18:20,2,2,3,1,
2018/06/27 11:43:59,3,3,5,3,
2018/06/27 12:13:58,3,3,5,4,
2018/06/27 12:28:44,3,3,5,4,
2018/06/27 12:43:24,3,3,5,4,
2018/06/27 12:58:51,3,3,5,5,
2018/06/27 13:43:18,3,3,3,3,
2018/06/27 13:58:52,3,4,3,4,
2018/06/27 14:13:50,5,5,4,3,
2018/06/27 14:28:50,5,5,3,3,
2018/06/27 14:43:49,4,4,3,2,
2018/06/27 14:58:50,5,4,4,2,
2018/06/27 15:13:53,2,3,3,2,
2018/06/27 15:28:53,4,4,4,3,
